station*;site d'echantillonnage*;jeu de donnees*;sample_name*;sampling_resp*;sampling_date(dd/mm/yyyy)*;sampling_time (hh:mm);sampling_depth_min;sampling_depth_max;sampling_volume;tide;tide_coefficient;sampling_device*;bottle_model;bottle_volume (liter);pump_model;pump_flow (L per min);net_length (m);net_type;net_area (m2);net_mesh (Âµm);net_direction;analysis_method*;analysis_resp*;analysis_date (dd/mm/yyyy)*;rawdatafile;cytometer;analysissoftware;analysissoftwareversion;fixativemethod;fixativefinalconcentration;storagecondition;otherproduct;flashfrozen;beadsreferences;beadssize;valbeadsbacteria;Val_LNABac;Val_LNABac_SSC;Val_LNABac_FL_Green;Val_HNABac;Val_HNABac_SSC;Val_HNABac_FL_Green;Val_TotBac;Val_TotBac_SSC;Val_TotBac_FL_Green;valbeadsautotrophs;Val_PicoE;Val_PicoE_SSC;Val_PicoE_FL_Red;Val_TotEuk;Val_TotEuk_SSC;Val_TotEuk_FL_Red;Val_NanoE;Val_NanoE_SSC;Val_NanoE_FL_Red;Val_Cry;Val_Cry_SSC;Val_Cry_FL_Red;Val_Cry_FL_Orange;Val_Pro;Val_Pro_SSC;Val_Pro_FL_Red;Val_Syn;Val_Syn_SSC;Val_Syn_FL_Red;Val_Syn_FL_Orange;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;taxon_user
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aphiaID
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;stage
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;form
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sex
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA000412;;12/04/2000;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;16568.18181818182;;;;0.0;0.0;0.0;691250.0;0.144;0.267;18832.923832923832;0.0;0.0;0.0;10233.415233415233;3.158;32.284;0.0;0.0;0.0;106.47010647010646;0.0;0.0;0.0;0.0;0.0;0.0;2731.3677313677313;1.544;3.804;0.597;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA010502;Nathalie Simon;02/05/2001;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Nathalie Simon;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;9159.09090909091;;;;0.0;0.0;0.0;325113.63636363635;0.139;0.243;17747.747747747748;0.0;0.0;0.0;10917.280917280916;7.389;24.784;0.0;0.0;0.0;163.8001638001638;0.0;0.0;0.0;0.0;0.0;0.0;1347.2563472563472;0.741;3.31;0.55;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA010529;Fabrice Not;29/05/2001;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;11136.363636363636;;;;0.0;0.0;0.0;327363.63636363635;0.157;0.307;16506.961506961507;0.0;0.0;0.0;2108.9271089271087;9.828;73.503;0.0;0.0;0.0;278.46027846027846;0.0;0.0;0.0;0.0;0.0;0.0;180.18018018018017;6.546;1.045;0.141;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA010808;Fabrice Not;08/08/2001;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;21272.727272727272;;;;0.0;0.0;0.0;454022.7272727273;0.068;0.177;22901.709401709402;0.0;0.0;0.0;6004.273504273504;4.432;32.249;0.0;0.0;0.0;183.76068376068375;0.0;0.0;0.0;0.0;0.0;0.0;4286.324786324786;1.578;5.745;0.963;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA010926;Fabrice Not;26/09/2001;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;8681.818181818182;;;;0.0;0.0;0.0;416090.9090909091;0.082;0.162;20864.045864045864;0.0;0.0;0.0;4021.294021294021;3.332;30.418;0.0;0.0;0.0;90.09009009009009;0.0;0.0;0.0;0.0;0.0;0.0;3050.778050778051;0.232;4.634;0.799;
