TAXON;aphiaID;Kingdom;Phylum;Subphylum;Superclass;Class;Subclass;Infraclass;Superorder;Order;Family;Suborder;Subterclass;Superfamily;Genus;Subkingdom;Infraphylum;Parvphylum;Gigaclass;Infrakingdom;Infraorder;Parvorder;Subfamily;Species;rank
Mollusca;51;Animalia;Mollusca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Phylum
Gymnosomata;164;Animalia;Mollusca;NA;NA;Gastropoda;Heterobranchia;Euthyneura;NA;Pteropoda;NA;Gymnosomata;Tectipleura;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Suborder
Annelida;882;Animalia;Annelida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Phylum
Tomopteridae;958;Animalia;Annelida;NA;NA;Polychaeta;Errantia;NA;NA;Phyllodocida;Tomopteridae;Phyllodocida incertae sedis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Crustacea;1066;Animalia;Arthropoda;Crustacea;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Subphylum
Ostracoda;1078;Animalia;Arthropoda;Crustacea;Oligostraca;Ostracoda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
Cirripedia;1082;Animalia;Arthropoda;Crustacea;Multicrustacea;Thecostraca;Cirripedia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Subclass
Eumalacostraca;1086;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Subclass
Calanoida;1100;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;NA;Neocopepoda;Gymnoplea;Calanoida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Cyclopoida;1101;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;NA;Neocopepoda;Podoplea;Cyclopoida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Harpacticoida;1102;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;NA;Neocopepoda;Podoplea;Harpacticoida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Monstrilloida;1106;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;NA;Neocopepoda;Podoplea;Monstrilloida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Isopoda;1131;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;NA;Peracarida;Isopoda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Amphipoda;1135;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;NA;Peracarida;Amphipoda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Cumacea;1137;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;NA;Peracarida;Cumacea;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Hyperiidea;1205;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;NA;Peracarida;Amphipoda;NA;Hyperiidea;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Suborder
Gammaridea;1207;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;NA;Peracarida;Amphipoda;NA;Gammaridea;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Suborder
Pycnogonida;1302;Animalia;Arthropoda;Chelicerata;NA;Pycnogonida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
Insecta;1307;Animalia;Arthropoda;Crustacea;Allotriocarida;Hexapoda;Insecta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Subclass
Hydrozoa;1337;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
Siphonophorae;1371;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;Hydroidolina;NA;NA;Siphonophorae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Foraminifera;1410;Chromista;Foraminifera;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Harosa;NA;NA;NA;Rhizaria;NA;NA;NA;NA;Phylum
Sertulariidae;1614;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;Hydroidolina;NA;NA;Leptothecata;Sertulariidae;NA;NA;Sertularioidea;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Phoronida;1789;Animalia;Phoronida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Phylum
Echinodermata;1806;Animalia;Echinodermata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Phylum
Chaetognatha;2081;Animalia;Chaetognatha;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Phylum
Actinopterygii;10194;Animalia;Chordata;Vertebrata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Gnathostomata;Osteichthyes;Actinopterygii;NA;NA;NA;NA;NA;Gigaclass
Cephalopoda;11707;Animalia;Mollusca;NA;NA;Cephalopoda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
Leptothecata;13552;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;Hydroidolina;NA;NA;Leptothecata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Limacinidae;13704;Animalia;Mollusca;NA;NA;Gastropoda;Heterobranchia;Euthyneura;NA;Pteropoda;Limacinidae;Euthecosomata;Tectipleura;Limacinoidea;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Caprellidae;101361;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;NA;Peracarida;Amphipoda;Caprellidae;Senticaudata;NA;Caprelloidea;NA;NA;NA;NA;NA;NA;Corophiida;Caprellidira;NA;NA;Family
Fritillariidae;103354;Animalia;Chordata;Tunicata;NA;Appendicularia;NA;NA;NA;Copelata;Fritillariidae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Oikopleuridae;103356;Animalia;Chordata;Tunicata;NA;Appendicularia;NA;NA;NA;Copelata;Oikopleuridae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Acartiidae;104074;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;NA;Neocopepoda;Gymnoplea;Calanoida;Acartiidae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Calanidae;104079;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;NA;Neocopepoda;Gymnoplea;Calanoida;Calanidae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Candaciidae;104080;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;NA;Neocopepoda;Gymnoplea;Calanoida;Candaciidae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Centropagidae;104081;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;NA;Neocopepoda;Gymnoplea;Calanoida;Centropagidae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Euchaetidae;104086;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;NA;Neocopepoda;Gymnoplea;Calanoida;Euchaetidae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Metridinidae;104092;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;NA;Neocopepoda;Gymnoplea;Calanoida;Metridinidae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Pontellidae;104097;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;NA;Neocopepoda;Gymnoplea;Calanoida;Pontellidae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Temoridae;104106;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;NA;Neocopepoda;Gymnoplea;Calanoida;Temoridae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Metridia;104190;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;NA;Neocopepoda;Gymnoplea;Calanoida;Metridinidae;NA;NA;NA;Metridia;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Branchiostoma;104902;Animalia;Chordata;Cephalochordata;NA;Leptocardii;NA;NA;NA;NA;Branchiostomatidae;NA;NA;NA;Branchiostoma;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Podonidae;106264;Animalia;Arthropoda;Crustacea;Allotriocarida;Branchiopoda;Phyllopoda;NA;Diplostraca;Onychopoda;Podonidae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Penilia;106266;Animalia;Arthropoda;Crustacea;Allotriocarida;Branchiopoda;Phyllopoda;NA;Diplostraca;Ctenopoda;Sididae;NA;NA;NA;Penilia;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Oithonidae;106422;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;NA;Neocopepoda;Podoplea;Cyclopoida;Oithonidae;Oithonida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Aequorea;116998;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;Hydroidolina;NA;NA;Leptothecata;Aequoreidae;NA;NA;NA;Aequorea;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Echinoidea;123082;Animalia;Echinodermata;Echinozoa;NA;Echinoidea;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
Ophiuroidea;123084;Animalia;Echinodermata;Asterozoa;NA;Ophiuroidea;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
Ophiurida;123117;Animalia;Echinodermata;Asterozoa;NA;Ophiuroidea;Myophiuroida;Metophiurida;Euryophiurida;Ophiurida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Ophiothrix;123626;Animalia;Echinodermata;Asterozoa;NA;Ophiuroidea;Myophiuroida;Metophiurida;Ophintegrida;Amphilepidida;Ophiotrichidae;Gnathophiurina;NA;Ophiactoidea;Ophiothrix;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Corycaeidae;128569;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;NA;Neocopepoda;Podoplea;Cyclopoida;Corycaeidae;Ergasilida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Oncaeidae;128586;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;NA;Neocopepoda;Podoplea;Cyclopoida;Oncaeidae;Ergasilida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Sapphirinidae;128595;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;NA;Neocopepoda;Podoplea;Cyclopoida;Sapphirinidae;Ergasilida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Scyphozoa;135220;Animalia;Cnidaria;Medusozoa;NA;Scyphozoa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
Physonectae;135335;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;Hydroidolina;NA;NA;Siphonophorae;NA;Physonectae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Suborder
Abylidae;135336;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;Hydroidolina;NA;NA;Siphonophorae;Abylidae;Calycophorae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Doliolida;137212;Animalia;Chordata;Tunicata;NA;Thaliacea;NA;NA;NA;Doliolida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Salpida;137214;Animalia;Chordata;Tunicata;NA;Thaliacea;NA;NA;NA;Salpida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Atlanta;137687;Animalia;Mollusca;NA;NA;Gastropoda;Caenogastropoda;NA;NA;Littorinimorpha;Atlantidae;NA;NA;Pterotracheoidea;Atlanta;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Cavolinia inflexa;139029;Animalia;Mollusca;NA;NA;Gastropoda;Heterobranchia;Euthyneura;NA;Pteropoda;Cavoliniidae;Euthecosomata;Tectipleura;Cavolinioidea;Cavolinia;NA;NA;NA;NA;NA;NA;NA;Cavoliniinae;Cavolinia inflexa;Species
Nemertea;152391;Animalia;Nemertea;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Phylum
Creseidae;411905;Animalia;Mollusca;NA;NA;Gastropoda;Heterobranchia;Euthyneura;NA;Pteropoda;Creseidae;Euthecosomata;Tectipleura;Cavolinioidea;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Harosa;582419;Chromista;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Harosa;NA;NA;NA;NA;NA;NA;NA;NA;Subkingdom
cyphonaute;1379066;Animalia;Bryozoa;NA;NA;Gymnolaemata;NA;NA;NA;Cheilostomatida;Electridae;Membraniporina;NA;Membraniporoidea;Cyphonautes;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
phyllosoma;1583577;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;NA;Eucarida;Decapoda;Palinuridae;Pleocyemata;NA;NA;Phyllosoma;NA;NA;NA;NA;NA;Achelata;NA;NA;NA;Genus
larvae<Porcellanidae;106734;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
zoea<Brachyura;106673;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Copepoda<Maxillopoda;1080;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
cypris;1066;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
nauplii<Cirripedia;1066;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bivalvia<Mollusca;105;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
egg<Actinopterygii;10194;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Obelia;117034;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
egg<other;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
nauplii<Crustacea;1066;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
cirrus;1066;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
eudoxie<Diphyidae;135338;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
calyptopsis<Euphausiacea;1128;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
nectophore<Diphyidae;135338;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
gonophore<Diphyidae;SUPPR;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
egg<Sardina pilchardus;SUPPR;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
megalopa<Brachyura;106673;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
larvae<Annelida;882;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
protozoea<Mysida;1086;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
veliger;51;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
pluteus<Echinoidea;123082;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
pluteus<Ophiuroidea;123084;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
nectophore<Physonectae;135335;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
bract<Diphyidae;135338;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
zoea<Galatheidae;106733;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Aglaura;117213;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ctenophora<Metazoa;1248;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acantharea;586732;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ephyra<Scyphozoa;135220;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
larvae<Squillidae;136093;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Clione;137793;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
larvae<Crustacea;1086;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
body<megalopa;106673;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Liriope<Geryoniidae;117099;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
chain<Salpida;SUPPR;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
juvenile<Salpida;137214;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
invisible membrane<egg;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
