taxon,aphia_ID,scientific_name,rank,class,kingdom,phylum,subphylum,genus,worms,rank_combined
Achnanthaceae,149190,Achnanthaceae,Family,Bacillariophyceae,Chromista,Heterokontophyta,Bacillariophytina,NA,Chromista/Heterokontophyta/Bacillariophytina/Bacillariophyceae/Bacillariophycidae/Bacillariophycanae/Achnanthales/Achnanthaceae,Kingdom/Phylum/Subphylum/Class/Subclass/Superorder/Order/Family
Achnanthes,149191,Achnanthes,Genus,Bacillariophyceae,Chromista,Heterokontophyta,Bacillariophytina,Achnanthes,Chromista/Heterokontophyta/Bacillariophytina/Bacillariophyceae/Bacillariophycidae/Bacillariophycanae/Achnanthales/Achnanthaceae/Achnanthes,Kingdom/Phylum/Subphylum/Class/Subclass/Superorder/Order/Family/Genus
Achnanthidium,163531,Achnanthidium,Genus,Bacillariophyceae,Chromista,Heterokontophyta,Bacillariophytina,Achnanthidium,Chromista/Heterokontophyta/Bacillariophytina/Bacillariophyceae/Bacillariophycidae/Bacillariophycanae/Achnanthales/Achnanthidiaceae/Achnanthidium,Kingdom/Phylum/Subphylum/Class/Subclass/Superorder/Order/Family/Genus
Actinocyclus,148944,Actinocyclus,Genus,Bacillariophyceae,Chromista,Heterokontophyta,Bacillariophytina,Actinocyclus,Chromista/Heterokontophyta/Bacillariophytina/Bacillariophyceae/Coscinodiscophycidae/Coscinodiscanae/Coscinodiscales/Hemidiscaceae/Actinocyclus,Kingdom/Phylum/Subphylum/Class/Subclass/Superorder/Order/Family/Genus
Actynopthycus senarius,148948,Actinoptychus senarius,Species,Bacillariophyceae,Chromista,Heterokontophyta,Bacillariophytina,Actinoptychus,Chromista/Heterokontophyta/Bacillariophytina/Bacillariophyceae/Coscinodiscophycidae/Coscinodiscanae/Coscinodiscales/Heliopeltaceae/Actinoptychus/Actinoptychus senarius,Kingdom/Phylum/Subphylum/Class/Subclass/Superorder/Order/Family/Genus/Species
Amphora,149200,Amphora,Genus,Bacillariophyceae,Chromista,Heterokontophyta,Bacillariophytina,Amphora,Chromista/Heterokontophyta/Bacillariophytina/Bacillariophyceae/Bacillariophycidae/Bacillariophycanae/Thalassiophysales/Catenulaceae/Amphora,Kingdom/Phylum/Subphylum/Class/Subclass/Superorder/Order/Family/Genus
Amphora obtusa,160713,Amphora obtusa,Species,Bacillariophyceae,Chromista,Heterokontophyta,Bacillariophytina,Amphora,Chromista/Heterokontophyta/Bacillariophytina/Bacillariophyceae/Bacillariophycidae/Bacillariophycanae/Thalassiophysales/Catenulaceae/Amphora/Amphora obtusa,Kingdom/Phylum/Subphylum/Class/Subclass/Superorder/Order/Family/Genus/Species
Asterionella frauenfeldii,176362,Asterionella frauenfeldii,Species,Bacillariophyceae,Chromista,Heterokontophyta,Bacillariophytina,Asterionella,Chromista/Heterokontophyta/Bacillariophytina/Bacillariophyceae/Fragilariophycidae/Fragilariophycanae/Fragilariales/Fragilariaceae/Asterionella/Asterionella frauenfeldii,Kingdom/Phylum/Subphylum/Class/Subclass/Superorder/Order/Family/Genus/Species
Asterionella glacialis,148955,Asterionella glacialis,Species,Bacillariophyceae,Chromista,Heterokontophyta,Bacillariophytina,Asterionella,Chromista/Heterokontophyta/Bacillariophytina/Bacillariophyceae/Fragilariophycidae/Fragilariophycanae/Fragilariales/Fragilariaceae/Asterionella/Asterionella glacialis,Kingdom/Phylum/Subphylum/Class/Subclass/Superorder/Order/Family/Genus/Species
Asterionella notata,162249,Asterionella notata,Species,Bacillariophyceae,Chromista,Heterokontophyta,Bacillariophytina,Asterionella,Chromista/Heterokontophyta/Bacillariophytina/Bacillariophyceae/Fragilariophycidae/Fragilariophycanae/Fragilariales/Fragilariaceae/Asterionella/Asterionella notata,Kingdom/Phylum/Subphylum/Class/Subclass/Superorder/Order/Family/Genus/Species
