TAXON;aphiaID;Kingdom;Phylum;Subphylum;Superclass;Class;Infraclass;Superorder;Order;Family;Genus;Species;Subclass;Suborder;Subfamily;Tribe;Subgenus;Infraphylum;Parvphylum;Gigaclass;Infraorder;Superfamily;Parvorder;Subterclass;Section;Subsection;rank
Animalia;2;Animalia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Kingdom
Gastropoda;101;Animalia;Mollusca;NA;NA;Gastropoda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
Bivalvia;105;Animalia;Mollusca;NA;NA;Bivalvia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
Annelida;882;Animalia;Annelida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Phylum
Polychaeta;883;Animalia;Annelida;NA;NA;Polychaeta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
Spionidae;913;Animalia;Annelida;NA;NA;Polychaeta;Canalipalpata;NA;Spionida;Spionidae;NA;NA;Sedentaria;Spioniformia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Magelonidae;914;Animalia;Annelida;NA;NA;Polychaeta;NA;NA;NA;Magelonidae;NA;NA;Polychaeta incertae sedis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Aphroditidae;938;Animalia;Annelida;NA;NA;Polychaeta;NA;NA;Phyllodocida;Aphroditidae;NA;NA;Errantia;Aphroditiformia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Syllidae;948;Animalia;Annelida;NA;NA;Polychaeta;NA;NA;Phyllodocida;Syllidae;NA;NA;Errantia;Nereidiformia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Sabellidae;985;Animalia;Annelida;NA;NA;Polychaeta;Canalipalpata;NA;Sabellida;Sabellidae;NA;NA;Sedentaria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Ostracoda;1078;Animalia;Arthropoda;Crustacea;Oligostraca;Ostracoda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
Copepoda;1080;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
Cirripedia;1082;Animalia;Arthropoda;Crustacea;Multicrustacea;Thecostraca;NA;NA;NA;NA;NA;NA;Cirripedia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Subclass
Calanoida;1100;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Gymnoplea;Calanoida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Cyclopoida;1101;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Podoplea;Cyclopoida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Harpacticoida;1102;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Podoplea;Harpacticoida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Monstrilloida;1106;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Podoplea;Monstrilloida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Decapoda;1130;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;NA;NA;NA;Eumalacostraca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Isopoda;1131;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Peracarida;Isopoda;NA;NA;NA;Eumalacostraca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
