TAXON;aphiaID;Kingdom;Phylum;Subphylum;Class;Subclass;Superorder;Order;Family;Genus;Subkingdom;Infrakingdom;Species;Infraphylum;Subfamily;Superclass;Suborder;Phylum (Division);Subgenus;Subphylum (Subdivision);Variety;Forma;Infraclass;Subterclass;Superfamily;rank
Achnanthes;149191;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Achnanthales;Achnanthaceae;Achnanthes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Achnanthes brevipes;149387;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Achnanthales;Achnanthaceae;Achnanthes;NA;NA;Achnanthes brevipes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Achnanthes longipes;156533;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Achnanthales;Achnanthaceae;Achnanthes;NA;NA;Achnanthes longipes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Actinocyclus;148944;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Coscinodiscanae;Coscinodiscales;Hemidiscaceae;Actinocyclus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Actinocyclus octonarius var. octonarius;162770;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Coscinodiscanae;Coscinodiscales;Hemidiscaceae;Actinocyclus;NA;NA;Actinocyclus octonarius;NA;NA;NA;NA;NA;NA;NA;Actinocyclus octonarius var. octonarius;NA;NA;NA;NA;Variety
Actinocyclus senarius;162810;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Coscinodiscanae;Coscinodiscales;Hemidiscaceae;Actinocyclus;NA;NA;Actinocyclus senarius;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Actinoptychus;148947;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Coscinodiscanae;Coscinodiscales;Heliopeltaceae;Actinoptychus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Actinoptychus senarius;148948;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Coscinodiscanae;Coscinodiscales;Heliopeltaceae;Actinoptychus;NA;NA;Actinoptychus senarius;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Akashiwo;231787;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Gymnodiniales;Gymnodiniaceae;Akashiwo;Harosa;Alveolata;NA;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Akashiwo sanguinea;232546;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Gymnodiniales;Gymnodiniaceae;Akashiwo;Harosa;Alveolata;Akashiwo sanguinea;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
