aphiaID;TAXON;Kingdom;Subkingdom;Infrakingdom;Phylum;Subphylum;Infraphylum;Class;Subclass;Order;Family;Genus;Species;Superorder;Phylum (Division);Subfamily;Subphylum (Subdivision);Superclass;Forma;Suborder;Variety;rank
7;Chromista;Chromista;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Kingdom
11;Ciliophora;Chromista;Harosa;Alveolata;Ciliophora;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Phylum
801;Chlorophyta;Plantae;Viridiplantae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Chlorophyta;NA;NA;NA;NA;NA;NA;Phylum (Division)
802;Chlorophyceae;Plantae;Viridiplantae;NA;NA;NA;NA;Chlorophyceae;NA;NA;NA;NA;NA;NA;Chlorophyta;NA;Chlorophytina;NA;NA;NA;NA;Class
8012;Euglena;Protozoa;Eozoa;Euglenozoa;Euglenozoa;Euglenoida;Dipilida;Euglenophyceae;Euglenophycidae;Euglenales;Euglenaceae;Euglena;NA;NA;NA;Euglenoideae;NA;NA;NA;NA;NA;Genus
17329;Prasinophyceae;Plantae;Viridiplantae;NA;NA;NA;NA;Prasinophyceae;NA;NA;NA;NA;NA;NA;Chlorophyta;NA;NA;NA;NA;NA;NA;Class
17639;Cryptophyceae;Chromista;Hacrobia;NA;Cryptophyta;NA;NA;Cryptophyceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
17640;Cryptomonadales;Chromista;Hacrobia;NA;Cryptophyta;NA;NA;Cryptophyceae;NA;Cryptomonadales;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
17655;Eutreptiaceae;Protozoa;Eozoa;Euglenozoa;Euglenozoa;Euglenoida;Dipilida;Euglenophyceae;Euglenophycidae;Eutreptiales;Eutreptiaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
17657;Eutreptiella;Protozoa;Eozoa;Euglenozoa;Euglenozoa;Euglenoida;Dipilida;Euglenophyceae;Euglenophycidae;Eutreptiales;Eutreptiaceae;Eutreptiella;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
17666;Chlorodendrales;Plantae;Viridiplantae;NA;NA;NA;NA;Chlorodendrophyceae;NA;Chlorodendrales;NA;NA;NA;NA;Chlorophyta;NA;Chlorophytina;NA;NA;NA;NA;Order
19542;Dinophyceae;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
21001;Euglenaceae;Protozoa;Eozoa;Euglenozoa;Euglenozoa;Euglenoida;Dipilida;Euglenophyceae;Euglenophycidae;Euglenales;Euglenaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
101190;Laboea;Chromista;Harosa;Alveolata;Ciliophora;Intramacronucleata;NA;Oligotrichea;Oligotrichia;Oligotrichida;Tontoniidae;Laboea;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
109390;Dinophysiales;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;NA;Dinophysiales;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
109391;Gonyaulacales;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;Peridiniphycidae;Gonyaulacales;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
109392;Gymnodiniales;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;NA;Gymnodiniales;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
109393;Noctilucales;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;NA;Noctilucales;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
109394;Peridiniales;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;Peridiniphycidae;Peridiniales;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
109396;Prorocentrales;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;NA;Prorocentrales;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
109406;Dinophysiaceae;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;NA;Dinophysiales;Dinophysiaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
109408;Goniodomataceae;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;Peridiniphycidae;Gonyaulacales;Goniodomataceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
109410;Gymnodiniaceae;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;NA;Gymnodiniales;Gymnodiniaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
109413;Polykrikaceae;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;NA;Gymnodiniales;Polykrikaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
109415;Warnowiaceae;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;NA;Gymnodiniales;Warnowiaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
109418;Noctilucaceae;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;NA;Noctilucales;Noctilucaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
109421;Ceratiaceae;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;Peridiniphycidae;Gonyaulacales;Ceratiaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
109428;Gonyaulacaceae;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;Peridiniphycidae;Gonyaulacales;Gonyaulacaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
109432;Oxytoxaceae;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;Peridiniphycidae;Peridiniales;Oxytoxaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
109433;Peridiniaceae;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;Peridiniphycidae;Peridiniales;Peridiniaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
109436;Pyrophacaceae;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;Peridiniphycidae;Gonyaulacales;Pyrophacaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
109442;Prorocentraceae;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;NA;Prorocentrales;Prorocentraceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
109444;Pyrocystaceae;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;Peridiniphycidae;Gonyaulacales;Pyrocystaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
109458;Pseliodinium;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinoflagellata incertae sedis;NA;NA;NA;Pseliodinium;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
109462;Dinophysis;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;NA;Dinophysales;Dinophysaceae;Dinophysis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
109463;Histioneis;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;NA;Dinophysales;Dinophysaceae;Histioneis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
109464;Ornithocercus;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;NA;Dinophysales;Dinophysaceae;Ornithocercus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
109466;Phalacroma;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;NA;Dinophysales;Oxyphysaceae;Phalacroma;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
109467;Sinophysis;Chromista;Harosa;Alveolata;Myzozoa;Dinozoa;Dinoflagellata;Dinophyceae;NA;Dinophysales;Dinophysaceae;Sinophysis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
