"ZM","ZM_Libelle","ZM_text","Facade","Code Facade","Region","Code Region"
74,"074 - Olonne - Le Payré","Olonne - Le Payre","Atlantique",2,"Pays de la Loire - Pertuis",22
34,"034 - Rivière de Morlaix","Riviere de Morlaix","Manche - Mer du Nord",1,"Manche occidentale",13
38,"038 - Iroise - Camaret","Iroise - Camaret","Atlantique",2,"Bretagne Sud",21
48,"048 - Aven - Belon - Laïta","Aven - Belon - Laita","Atlantique",2,"Bretagne Sud",21
110,"110 - Etangs de Berre - Vaine - Bolmon","Etangs de Berre - Vaine - Bolmon","Mediterranee",3,"Golfe du Lion",31
43,"043 - Concarneau large - Glénan","Concarneau large - Glenan","Atlantique",2,"Bretagne Sud",21
106,"106 - Côte camarguaise","Cote camarguaise","Mediterranee",3,"Golfe du Lion",31
15,"015 - Ravenoville - Saint Vaast - Barfleur","Ravenoville - Saint Vaast - Barfleur","Manche - Mer du Nord",1,"Baie de Seine",12
21,"021 - Rance - estuaire et large","Rance - estuaire et large","Manche - Mer du Nord",1,"Manche occidentale",13
109,"109 - Golfe de Fos","Golfe de Fos","Mediterranee",3,"Golfe du Lion",31
10,"010 - Baie de Seine et Orne","Baie de Seine et Orne","Manche - Mer du Nord",1,"Baie de Seine",12
82,"082 - Pertuis de Maumusson","Pertuis de Maumusson","Atlantique",2,"Pays de la Loire - Pertuis",22
71,"071 - Baie de Bourgneuf","Baie de Bourgneuf","Atlantique",2,"Pays de la Loire - Pertuis",22
55,"055 - Baie de Quiberon","Baie de Quiberon","Atlantique",2,"Bretagne Sud",21
122,"122 - Corse Ouest","Corse Ouest","Mediterranee",3,"Mer ligurienne - Corse",32
2,"002 - Cap Gris Nez - Le Boulonnais","Cap Gris Nez - Le Boulonnais","Manche - Mer du Nord",1,"Manche orientale - Mer du Nord",11
104,"104 - Etang de Thau","Etang de Thau","Mediterranee",3,"Golfe du Lion",31
72,"072 - Vendée Nord","Vendee Nord","Atlantique",2,"Pays de la Loire - Pertuis",22
52,"052 - Baie d'Etel","Baie d Etel","Atlantique",2,"Bretagne Sud",21
47,"047 - Baie de Concarneau","Baie de Concarneau","Atlantique",2,"Bretagne Sud",21
125,"125 - Martinique","Martinique","Antilles - Atlantique tropical",4,"Petites Antilles",41
7,"007 - Baie de Somme","Baie de Somme","Manche - Mer du Nord",1,"Manche orientale - Mer du Nord",11
14,"014 - Baie des Veys","Baie des Veys","Manche - Mer du Nord",1,"Baie de Seine",12
70,"070 - Estuaire de la Loire","Estuaire de la loire","Atlantique",2,"Pays de la Loire - Pertuis",22
88,"088 - Bassin d'Arcachon","Bassin d Arcachon","Atlantique",2,"Sud Golfe de Gascogne",23
27,"027 - Trieux - Bréhat","Trieux - Brehat","Manche - Mer du Nord",1,"Manche occidentale",13
90,"090 - Lac d'Hossegor","Lac d Hossegor","Atlantique",2,"Sud Golfe de Gascogne",23
40,"040 - Baie de Douarnenez","Baie de Douarnenez","Atlantique",2,"Bretagne Sud",21
49,"049 - Rade de Lorient - Groix","Rade de Lorient - Groix","Atlantique",2,"Bretagne Sud",21
75,"075 - Ouest îles de Ré et d'Oléron","Ouest iles de Re et d Oleron","Atlantique",2,"Pays de la Loire - Pertuis",22
102,"102 - Côte languedocienne","Cote languedocienne","Mediterranee",3,"Golfe du Lion",31
77,"077 - Baie de l'Aiguillon","Baie de l Aiguillon","Atlantique",2,"Pays de la Loire - Pertuis",22
39,"039 - Rade de Brest","Rade de Brest","Atlantique",2,"Bretagne Sud",21
87,"087 - Arcachon aval","Arcachon aval","Atlantique",2,"Sud Golfe de Gascogne",23
124,"124 - Guadeloupe","Guadeloupe","Antilles - Atlantique tropical",4,"Petites Antilles",41
118,"118 - Etang de Diana","Etang de Diana","Mediterranee",3,"Mer ligurienne - Corse",32
68,"068 - Traicts du Croisic","Traicts du Croisic","Atlantique",2,"Pays de la Loire - Pertuis",22
63,"063 - Baie de Vilaine - côte","Baie de Vilaine - cote","Atlantique",2,"Pays de la Loire - Pertuis",22
1,"001 - Frontière belge - Cap Gris Nez","Frontiere belge - Cap Gris Nez","Manche - Mer du Nord",1,"Manche orientale - Mer du Nord",11
111,"111 - Marseille et calanques","Marseille et calanques","Mediterranee",3,"Mer ligurienne - Corse",32
97,"097 - Etang de Salses-Leucate","Etang de Salses-Leucate","Mediterranee",3,"Golfe du Lion",31
95,"095 - Côte audoise","Cote audoise","Mediterranee",3,"Golfe du Lion",31
146,"146 - Guyane française","Guyane fran�aise","Antilles - Atlantique tropical",4,"Guyane",42
84,"084 - Aval et large de la Gironde","Aval et large de la Gironde","Atlantique",2,"Pays de la Loire - Pertuis",22
53,"053 - Rivière d'Etel","Riviere d Etel","Atlantique",2,"Bretagne Sud",21
