"RLABO","SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","QFLAG","ALABO","METOA","METFP","SLABO","SMTYP","MPROG","PURPM","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VALUE"
"BAMN","AA31","1993",2976,47.4227,-2.4579,,"Pointe Pen Bé","19930112",09:45:00,,2976,,0.25,1,1,148905,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,100
"BAMN","AA31","1993",2976,47.4227,-2.4579,,"Pointe Pen Bé","19930112",09:45:00,,2976,,0.25,1,1,149176,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,100
"BAMN","AA31","1993",2977,47.4227,-2.4579,,"Pointe Pen Bé","19930125",07:10:00,,2977,,0.25,0.5,0.5,109394,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,400
"BAMN","AA31","1993",2977,47.4227,-2.4579,,"Pointe Pen Bé","19930125",07:10:00,,2977,,0.25,0.5,0.5,148905,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,200
"BAMN","AA31","1993",2977,47.4227,-2.4579,,"Pointe Pen Bé","19930125",07:10:00,,2977,,0.25,0.5,0.5,148989,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,100
"BAMN","AA31","1993",2977,47.4227,-2.4579,,"Pointe Pen Bé","19930125",07:10:00,,2977,,0.25,0.5,0.5,149200,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,200
"BAMN","AA31","1993",2977,47.4227,-2.4579,,"Pointe Pen Bé","19930125",07:10:00,,2977,,0.25,0.5,0.5,160561,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,100
"BAMN","AA31","1993",2977,47.4227,-2.4579,,"Pointe Pen Bé","19930125",07:10:00,,2977,,0.25,0.5,0.5,160602,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,4000
"BAMN","AA31","1993",2977,47.4227,-2.4579,,"Pointe Pen Bé","19930125",07:10:00,,2977,,0.25,0.5,0.5,591199,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,100
"BAMN","AA31","1993",2978,47.4227,-2.4579,,"Pointe Pen Bé","19930208",16:30:00,,2978,,0.25,1,1,109394,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,100
"BAMN","AA31","1993",2978,47.4227,-2.4579,,"Pointe Pen Bé","19930208",16:30:00,,2978,,0.25,1,1,109876,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,100
"BAMN","AA31","1993",2978,47.4227,-2.4579,,"Pointe Pen Bé","19930208",16:30:00,,2978,,0.25,1,1,148952,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,600
"BAMN","AA31","1993",2978,47.4227,-2.4579,,"Pointe Pen Bé","19930208",16:30:00,,2978,,0.25,1,1,149120,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,1200
"BAMN","AA31","1993",2978,47.4227,-2.4579,,"Pointe Pen Bé","19930208",16:30:00,,2978,,0.25,1,1,160602,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,900
"BAMN","AA31","1993",2979,47.4227,-2.4579,,"Pointe Pen Bé","19930308",15:57:00,,2979,,0.25,1,1,109394,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,1000
"BAMN","AA31","1993",2979,47.4227,-2.4579,,"Pointe Pen Bé","19930308",15:57:00,,2979,,0.25,1,1,109473,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,100
"BAMN","AA31","1993",2979,47.4227,-2.4579,,"Pointe Pen Bé","19930308",15:57:00,,2979,,0.25,1,1,109876,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,100
"BAMN","AA31","1993",2979,47.4227,-2.4579,,"Pointe Pen Bé","19930308",15:57:00,,2979,,0.25,1,1,148905,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,100
"BAMN","AA31","1993",2979,47.4227,-2.4579,,"Pointe Pen Bé","19930308",15:57:00,,2979,,0.25,1,1,148985,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,2100
"BAMN","AA31","1993",2979,47.4227,-2.4579,,"Pointe Pen Bé","19930308",15:57:00,,2979,,0.25,1,1,149120,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,2600
"BAMN","AA31","1993",2979,47.4227,-2.4579,,"Pointe Pen Bé","19930308",15:57:00,,2979,,0.25,1,1,1346683,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,1400
"BAMN","AA31","1993",2980,47.4227,-2.4579,,"Pointe Pen Bé","19930322",15:11:00,,2980,,0.25,1,1,109435,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,100
"BAMN","AA31","1993",2980,47.4227,-2.4579,,"Pointe Pen Bé","19930322",15:11:00,,2980,,0.25,1,1,109473,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,200
"BAMN","AA31","1993",2980,47.4227,-2.4579,,"Pointe Pen Bé","19930322",15:11:00,,2980,,0.25,1,1,109518,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,700
"BAMN","AA31","1993",2980,47.4227,-2.4579,,"Pointe Pen Bé","19930322",15:11:00,,2980,,0.25,1,1,109876,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,200
"BAMN","AA31","1993",2980,47.4227,-2.4579,,"Pointe Pen Bé","19930322",15:11:00,,2980,,0.25,1,1,148905,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","1993","PP","ERID",,,,200
