"SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","QFLAG","RLABO","ALABO","METOA","METFP","SLABO","SMTYP","MPROG","PURPM","CNTRY","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VALUE"
"ZZ99","2000","RA000412",48.732,-3.968,NA,"Astan","20000412",NA,NA,"RA000412",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2000","PP","ERID",NA,NA,NA,106.470106470106
"ZZ99","2000","RA000412",48.732,-3.968,NA,"Astan","20000412",NA,NA,"RA000412",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2000","PP","ERID",NA,NA,NA,2731.36773136773
"ZZ99","2001","RA010502",48.732,-3.968,NA,"Astan","20010502",NA,NA,"RA010502",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,163.800163800164
"ZZ99","2001","RA010502",48.732,-3.968,NA,"Astan","20010502",NA,NA,"RA010502",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,1347.25634725635
"ZZ99","2001","RA010529",48.732,-3.968,NA,"Astan","20010529",NA,NA,"RA010529",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,278.460278460278
"ZZ99","2001","RA010529",48.732,-3.968,NA,"Astan","20010529",NA,NA,"RA010529",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,180.18018018018
"ZZ99","2001","RA010808",48.732,-3.968,NA,"Astan","20010808",NA,NA,"RA010808",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,183.760683760684
"ZZ99","2001","RA010808",48.732,-3.968,NA,"Astan","20010808",NA,NA,"RA010808",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,4286.32478632479
"ZZ99","2001","RA010926",48.732,-3.968,NA,"Astan","20010926",NA,NA,"RA010926",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,90.0900900900901
"ZZ99","2001","RA010926",48.732,-3.968,NA,"Astan","20010926",NA,NA,"RA010926",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,3050.77805077805
"ZZ99","2001","RA011011",48.732,-3.968,NA,"Astan","20011011",NA,NA,"RA011011",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,209.401709401709
"ZZ99","2001","RA011011",48.732,-3.968,NA,"Astan","20011011",NA,NA,"RA011011",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,2764.95726495727
"ZZ99","2001","RA011025",48.732,-3.968,NA,"Astan","20011025",NA,NA,"RA011025",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,363.247863247863
"ZZ99","2001","RA011025",48.732,-3.968,NA,"Astan","20011025",NA,NA,"RA011025",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,3072.64957264957
"ZZ99","2001","RA011112",48.732,-3.968,NA,"Astan","20011112",NA,NA,"RA011112",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,235.042735042735
"ZZ99","2001","RA011112",48.732,-3.968,NA,"Astan","20011112",NA,NA,"RA011112",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,5175.21367521367
"ZZ99","2001","RA011123",48.732,-3.968,NA,"Astan","20011123",NA,NA,"RA011123",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,256.410256410256
"ZZ99","2001","RA011123",48.732,-3.968,NA,"Astan","20011123",NA,NA,"RA011123",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,4059.82905982906
"ZZ99","2001","RA011207",48.732,-3.968,NA,"Astan","20011207",NA,NA,"RA011207",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,217.948717948718
"ZZ99","2001","RA011207",48.732,-3.968,NA,"Astan","20011207",NA,NA,"RA011207",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,3051.28205128205
"ZZ99","2001","RA011218",48.732,-3.968,NA,"Astan","20011218",NA,NA,"RA011218",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,230.769230769231
"ZZ99","2001","RA011218",48.732,-3.968,NA,"Astan","20011218",NA,NA,"RA011218",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2001","PP","ERID",NA,NA,NA,3705.12820512821
"ZZ99","2002","RA020108",48.732,-3.968,NA,"Astan","20020108",NA,NA,"RA020108",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,123.142250530786
"ZZ99","2002","RA020108",48.732,-3.968,NA,"Astan","20020108",NA,NA,"RA020108",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,3859.87261146497
"ZZ99","2002","RA020122",48.732,-3.968,NA,"Astan","20020122",NA,NA,"RA020122",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,194.704049844237
"ZZ99","2002","RA020122",48.732,-3.968,NA,"Astan","20020122",NA,NA,"RA020122",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,1390.18691588785
"ZZ99","2002","RA020201",48.732,-3.968,NA,"Astan","20020201",NA,NA,"RA020201",NA,5,1,1,17639,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,243.589743589744
"ZZ99","2002","RA020201",48.732,-3.968,NA,"Astan","20020201",NA,NA,"RA020201",NA,5,1,1,160572,NA,NA,"ABUNDNR","cells/l",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR","2002","PP","ERID",NA,NA,NA,2726.49572649573
