"RLABO","SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","QFLAG","ALABO","METOA","METFP","SLABO","SMTYP","MPROG","PURPM","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VALUE"
"BAMN","AA31","2000","RA000412",48.732,-3.968,,"Astan","20000412",,,"RA000412",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2000","PP","ERID",,,,106.470106470106
"BAMN","AA31","2000","RA000412",48.732,-3.968,,"Astan","20000412",,,"RA000412",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2000","PP","ERID",,,,2731.36773136773
"BAMN","AA31","2001","RA010502",48.732,-3.968,,"Astan","20010502",,,"RA010502",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2001","PP","ERID",,,,163.800163800164
"BAMN","AA31","2001","RA010502",48.732,-3.968,,"Astan","20010502",,,"RA010502",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2001","PP","ERID",,,,1347.25634725635
"BAMN","AA31","2001","RA010529",48.732,-3.968,,"Astan","20010529",,,"RA010529",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2001","PP","ERID",,,,278.460278460278
"BAMN","AA31","2001","RA010529",48.732,-3.968,,"Astan","20010529",,,"RA010529",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2001","PP","ERID",,,,180.18018018018
"BAMN","AA31","2001","RA010808",48.732,-3.968,,"Astan","20010808",,,"RA010808",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2001","PP","ERID",,,,183.760683760684
"BAMN","AA31","2001","RA010808",48.732,-3.968,,"Astan","20010808",,,"RA010808",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2001","PP","ERID",,,,4286.32478632479
"BAMN","AA31","2001","RA010926",48.732,-3.968,,"Astan","20010926",,,"RA010926",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2001","PP","ERID",,,,90.0900900900901
"BAMN","AA31","2001","RA010926",48.732,-3.968,,"Astan","20010926",,,"RA010926",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2001","PP","ERID",,,,3050.77805077805
"BAMN","AA31","2001","RA011011",48.732,-3.968,,"Astan","20011011",,,"RA011011",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2001","PP","ERID",,,,209.401709401709
"BAMN","AA31","2001","RA011011",48.732,-3.968,,"Astan","20011011",,,"RA011011",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2001","PP","ERID",,,,2764.95726495727
"BAMN","AA31","2001","RA011025",48.732,-3.968,,"Astan","20011025",,,"RA011025",,5,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2001","PP","ERID",,,,363.247863247863
"BAMN","AA31","2001","RA011025",48.732,-3.968,,"Astan","20011025",,,"RA011025",,5,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,,"CEMP~NATL","T~S","2001","PP","ERID",,,,3072.64957264957
