"RLABO","SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","ALABO","METOA","METFP","SLABO","SMTYP","MPROG","PURPM","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VALUE"
"BAMN","AA31","2002","Astan_20020316",48.7778,-3.9375,,"Astan","20020316",,,"Astan_20020316",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"CEMP~NATL","T~S","2002","PP","ERID",,,,70.25645
"BAMN","AA31","2002","Astan_20020316",48.7778,-3.9375,,"Astan","20020316",,,"Astan_20020316",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"CEMP~NATL","T~S","2002","PP","ERID",,,,2097.361664
"BAMN","AA31","2002","Estacade_20020316",48.7322,-3.98278,,"Estacade","20020316",,,"Estacade_20020316",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"CEMP~NATL","T~S","2002","PP","ERID",,,,61.990985
"BAMN","AA31","2002","Estacade_20020316",48.7322,-3.98278,,"Estacade","20020316",,,"Estacade_20020316",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"CEMP~NATL","T~S","2002","PP","ERID",,,,2043.636143
"BAMN","AA31","2009","Bouee 13_20090106",44.6334,-1.2377,,"Bouee 13","20090106",,,"Bouee 13_20090106",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"CEMP~NATL","T~S","2009","PP","ERID",,,,21.528525
"BAMN","AA31","2009","Bouee 13_20090106",44.6334,-1.2377,,"Bouee 13","20090106",,,"Bouee 13_20090106",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"CEMP~NATL","T~S","2009","PP","ERID",,,,4682.454252
"BAMN","AA31","2009","Bouee 13_20090119",44.6334,-1.2377,,"Bouee 13","20090119",,,"Bouee 13_20090119",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"CEMP~NATL","T~S","2009","PP","ERID",,,,48.439182
"BAMN","AA31","2009","Bouee 13_20090119",44.6334,-1.2377,,"Bouee 13","20090119",,,"Bouee 13_20090119",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"CEMP~NATL","T~S","2009","PP","ERID",,,,3449.946179
"BAMN","AA31","2009","Bouee 13_20090204",44.6334,-1.2377,,"Bouee 13","20090204",,,"Bouee 13_20090204",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"CEMP~NATL","T~S","2009","PP","ERID",,,,37.674919
"BAMN","AA31","2009","Bouee 13_20090204",44.6334,-1.2377,,"Bouee 13","20090204",,,"Bouee 13_20090204",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"CEMP~NATL","T~S","2009","PP","ERID",,,,1730.355221
