"RLABO","SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","QFLAG","ALABO","METOA","METFP","SLABO","SMTYP","PURPM","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VFLAG","MPROG","VALUE"
"BAMN","AA31","IGA_Gravelines_1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee",19980107,,,"5198701",,,2,5,101,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",25.069637883
"BAMN","AA31","IGA_Gravelines_1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee",19980107,,,"5198701",,,2,5,882,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",16.713091922
"BAMN","AA31","IGA_Gravelines_1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee",19980107,,,"5198701",,,2,5,913,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",214.484679666
"BAMN","AA31","IGA_Gravelines_1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee",19980107,,,"5198701",,,2,5,1082,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",25.069637883
"BAMN","AA31","IGA_Gravelines_1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee",19980107,,,"5198701",,,2,5,1101,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",97.493036212
"BAMN","AA31","IGA_Gravelines_1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee",19980107,,,"5198701",,,2,5,1102,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",13.927576602
"BAMN","AA31","IGA_Gravelines_1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee",19980107,,,"5198701",,,2,5,1135,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",25.069637883
"BAMN","AA31","IGA_Gravelines_1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee",19980107,,,"5198701",,,2,5,1137,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",5.571030641
"BAMN","AA31","IGA_Gravelines_1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee",19980107,,,"5198701",,,2,5,103407,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",72.423398329
"BAMN","AA31","IGA_Gravelines_1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee",19980107,,,"5198701",,,2,5,104251,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",150.417827298
"BAMN","AA31","IGA_Gravelines_1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee",19980107,,,"5198701",,,2,5,104466,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",2.78551532
"BAMN","AA31","IGA_Gravelines_1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee",19980107,,,"5198701",,,2,5,104496,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"A","JMP~NATL",0.174094708
"BAMN","AA31","IGA_Gravelines_1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee",19980107,,,"5198701",,,2,5,104515,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",119.777158774
"BAMN","AA31","IGA_Gravelines_1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee",19980107,,,"5198701",,,2,5,104685,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",33.426183844
"BAMN","AA31","IGA_Gravelines_1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee",19980107,,,"5198701",,,2,5,104878,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",261.838440111
"BAMN","AA31","IGA_Gravelines_1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee",19980107,,,"5198701",,,2,5,105410,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",2.78551532
"BAMN","AA31","IGA_Gravelines_1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee",19980107,,,"5198701",,,2,5,106738,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",2.78551532
"BAMN","AA31","IGA_Gravelines_1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee",19980107,,,"5198701",,,2,5,116162,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",144.846796657
"BAMN","AA31","IGA_Gravelines_1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee",19980107,,,"5198701",,,2,5,131495,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",2.78551532
"BAMN","AA31","IGA_Gravelines_1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee",19980107,,,"5198701",,,2,5,146142,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",5.571030641
"BAMN","AA31","IGA_Gravelines_1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee",19980211,,,"5198704",,,2,5,913,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",155.555555556
"BAMN","AA31","IGA_Gravelines_1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee",19980211,,,"5198704",,,2,5,1082,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",8018.518518519
"BAMN","AA31","IGA_Gravelines_1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee",19980211,,,"5198704",,,2,5,1101,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",14.814814815
"BAMN","AA31","IGA_Gravelines_1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee",19980211,,,"5198704",,,2,5,1102,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",3.703703704
"BAMN","AA31","IGA_Gravelines_1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee",19980211,,,"5198704",,,2,5,1267,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",11.111111111
"BAMN","AA31","IGA_Gravelines_1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee",19980211,,,"5198704",,,2,5,103407,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",114.814814815
"BAMN","AA31","IGA_Gravelines_1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee",19980211,,,"5198704",,,2,5,104251,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",122.222222222
"BAMN","AA31","IGA_Gravelines_1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee",19980211,,,"5198704",,,2,5,104466,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",3.703703704
"BAMN","AA31","IGA_Gravelines_1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee",19980211,,,"5198704",,,2,5,104496,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",25.925925926
"BAMN","AA31","IGA_Gravelines_1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee",19980211,,,"5198704",,,2,5,104515,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",55.555555556
"BAMN","AA31","IGA_Gravelines_1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee",19980211,,,"5198704",,,2,5,104685,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",3.703703704
"BAMN","AA31","IGA_Gravelines_1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee",19980211,,,"5198704",,,2,5,104878,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",222.222222222
"BAMN","AA31","IGA_Gravelines_1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee",19980211,,,"5198704",,,2,5,106386,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",3.703703704
"BAMN","AA31","IGA_Gravelines_1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee",19980211,,,"5198704",,,2,5,106673,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",3.703703704
"BAMN","AA31","IGA_Gravelines_1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee",19980211,,,"5198704",,,2,5,116162,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",3.703703704
"BAMN","AA31","IGA_Gravelines_1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee",19980211,,,"5198704",,,2,5,131495,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",3.703703704
"BAMN","AA31","IGA_Gravelines_1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee",19980211,,,"5198704",,,2,5,146142,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",3.703703704
"BAMN","AA31","IGA_Gravelines_1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee",19980317,,,"5198718",,,2,5,882,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",393.258426966
"BAMN","AA31","IGA_Gravelines_1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee",19980317,,,"5198718",,,2,5,913,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",11011.235955056
"BAMN","AA31","IGA_Gravelines_1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee",19980317,,,"5198718",,,2,5,1082,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",842.696629213
"BAMN","AA31","IGA_Gravelines_1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee",19980317,,,"5198718",,,2,5,1267,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",33.707865169
"BAMN","AA31","IGA_Gravelines_1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee",19980317,,,"5198718",,,2,5,10194,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",50.561797753
"BAMN","AA31","IGA_Gravelines_1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee",19980317,,,"5198718",,,2,5,103407,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",5674.157303371
"BAMN","AA31","IGA_Gravelines_1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee",19980317,,,"5198718",,,2,5,104251,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",4157.303370787
"BAMN","AA31","IGA_Gravelines_1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee",19980317,,,"5198718",,,2,5,104466,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",561.797752809
"BAMN","AA31","IGA_Gravelines_1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee",19980317,,,"5198718",,,2,5,104496,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",1741.573033708
"BAMN","AA31","IGA_Gravelines_1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee",19980317,,,"5198718",,,2,5,104515,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",2415.730337079
"BAMN","AA31","IGA_Gravelines_1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee",19980317,,,"5198718",,,2,5,104685,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",2584.269662921
"BAMN","AA31","IGA_Gravelines_1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee",19980317,,,"5198718",,,2,5,104878,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",9550.561797753
"BAMN","AA31","IGA_Gravelines_1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee",19980317,,,"5198718",,,2,5,106386,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",22.471910112
"BAMN","AA31","IGA_Gravelines_1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee",19980317,,,"5198718",,,2,5,106673,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",67.415730337
"BAMN","AA31","IGA_Gravelines_1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee",19980317,,,"5198718",,,2,5,120072,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",5.617977528
"BAMN","AA31","IGA_Gravelines_1998","5198718",2.15003,51.02219,,"GRAV - Canal Amenee",19980317,,,"5198718",,,2,5,131495,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",786.516853933
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,101,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",8.71459695
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,105,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",10.893246187
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,882,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",69.716775599
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,913,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",34.8583878
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,1082,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",8.71459695
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,1101,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",6.535947712
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,1135,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",4.357298475
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,1267,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",4.357298475
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,10194,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",3.267973856
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,103407,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",91.503267974
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,104251,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",135.076252723
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,104466,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",4.357298475
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,104496,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",17.4291939
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,104515,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",34.8583878
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,104685,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",4.357298475
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,104878,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",281.045751634
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,106386,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",5.446623094
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,106673,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",6.535947712
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,116162,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",13.071895425
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,117034,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",2.178649237
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,123200,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",19.607843137
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,131495,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",52.287581699
