"RLABO","SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","VFLAG","ALABO","METOA","METFP","SLABO","SMTYP","MPROG","PURPM","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VALUE"
"BAMN","AA31","1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee","19980107",00:00:00,,"5198701",,,2,5,101,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,25.069637883
"BAMN","AA31","1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee","19980107",00:00:00,,"5198701",,,2,5,882,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,16.713091922
"BAMN","AA31","1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee","19980107",00:00:00,,"5198701",,,2,5,913,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,214.484679666
"BAMN","AA31","1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee","19980107",00:00:00,,"5198701",,,2,5,1082,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,25.069637883
"BAMN","AA31","1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee","19980107",00:00:00,,"5198701",,,2,5,1101,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,97.493036212
"BAMN","AA31","1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee","19980107",00:00:00,,"5198701",,,2,5,1102,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,13.927576602
"BAMN","AA31","1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee","19980107",00:00:00,,"5198701",,,2,5,1135,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,25.069637883
"BAMN","AA31","1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee","19980107",00:00:00,,"5198701",,,2,5,1137,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,5.571030641
"BAMN","AA31","1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee","19980107",00:00:00,,"5198701",,,2,5,103407,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,72.423398329
"BAMN","AA31","1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee","19980107",00:00:00,,"5198701",,,2,5,104251,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,150.417827298
"BAMN","AA31","1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee","19980107",00:00:00,,"5198701",,,2,5,104466,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,2.78551532
"BAMN","AA31","1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee","19980107",00:00:00,,"5198701",,,2,5,104496,,,"ABUNDNR","nr/m3","A",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,0.174094708
"BAMN","AA31","1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee","19980107",00:00:00,,"5198701",,,2,5,104515,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,119.777158774
"BAMN","AA31","1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee","19980107",00:00:00,,"5198701",,,2,5,104685,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,33.426183844
"BAMN","AA31","1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee","19980107",00:00:00,,"5198701",,,2,5,104878,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,261.838440111
"BAMN","AA31","1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee","19980107",00:00:00,,"5198701",,,2,5,105410,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,2.78551532
"BAMN","AA31","1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee","19980107",00:00:00,,"5198701",,,2,5,106738,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,2.78551532
"BAMN","AA31","1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee","19980107",00:00:00,,"5198701",,,2,5,116162,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,144.846796657
"BAMN","AA31","1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee","19980107",00:00:00,,"5198701",,,2,5,131495,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,2.78551532
"BAMN","AA31","1998","5198701",2.15003,51.02219,,"GRAV - Canal Amenee","19980107",00:00:00,,"5198701",,,2,5,146142,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,5.571030641
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,913,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,155.555555556
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,1082,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,8018.518518519
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,1101,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,14.814814815
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,1102,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,3.703703704
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,1267,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,11.111111111
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,103407,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,114.814814815
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,104251,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,122.222222222
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,104466,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,3.703703704
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,104496,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,25.925925926
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,104515,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,55.555555556
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,104685,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,3.703703704
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,104878,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,222.222222222
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,106386,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,3.703703704
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,106673,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,3.703703704
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,116162,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,3.703703704
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,131495,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,3.703703704
"BAMN","AA31","1998","5198704",2.15003,51.02219,,"GRAV - Canal Amenee","19980211",00:00:00,,"5198704",,,2,5,146142,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,3.703703704
