"SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","QFLAG","RLABO","ALABO","METOA","METFP","SLABO","SMTYP","MPROG","PURPM","CNTRY","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VALUE"
"ZZ99",2010,"B1_20101025_SURFACE",48.317,-4.617,NA,"PNMI_B1","20101025",NA,NA,"B1_2010-10-25_SURFACE",NA,NA,0,5,"103356",NA,"NS","ABUNDNR","nr/m3",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR",2010,"ZP","ERID",NA,NA,NA,106.362
"ZZ99",2010,"B1_20101025_SURFACE",48.317,-4.617,NA,"PNMI_B1","20101025",NA,NA,"B1_2010-10-25_SURFACE",NA,NA,0,5,"104074",NA,"NS","ABUNDNR","nr/m3",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR",2010,"ZP","ERID",NA,NA,NA,986.623
"ZZ99",2010,"B1_20101025_SURFACE",48.317,-4.617,NA,"PNMI_B1","20101025",NA,NA,"B1_2010-10-25_SURFACE",NA,NA,0,5,"104079",NA,"NS","ABUNDNR","nr/m3",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR",2010,"ZP","ERID",NA,NA,NA,6.525
"ZZ99",2010,"B1_20101025_SURFACE",48.317,-4.617,NA,"PNMI_B1","20101025",NA,NA,"B1_2010-10-25_SURFACE",NA,NA,0,5,"104081",NA,"NS","ABUNDNR","nr/m3",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR",2010,"ZP","ERID",NA,NA,NA,14.029
"ZZ99",2010,"B1_20101025_SURFACE",48.317,-4.617,NA,"PNMI_B1","20101025",NA,NA,"B1_2010-10-25_SURFACE",NA,NA,0,5,"104086",NA,"NS","ABUNDNR","nr/m3",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR",2010,"ZP","ERID",NA,NA,NA,0.163
"ZZ99",2010,"B1_20101025_SURFACE",48.317,-4.617,NA,"PNMI_B1","20101025",NA,NA,"B1_2010-10-25_SURFACE",NA,NA,0,5,"104106",NA,"NS","ABUNDNR","nr/m3",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR",2010,"ZP","ERID",NA,NA,NA,99.184
"ZZ99",2010,"B1_20101025_SURFACE",48.317,-4.617,NA,"PNMI_B1","20101025",NA,NA,"B1_2010-10-25_SURFACE",NA,NA,0,5,"105",NA,"NS","ABUNDNR","nr/m3",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR",2010,"ZP","ERID",NA,NA,NA,11.093
"ZZ99",2010,"B1_20101025_SURFACE",48.317,-4.617,NA,"PNMI_B1","20101025",NA,NA,"B1_2010-10-25_SURFACE",NA,NA,0,5,"106264",NA,"NS","ABUNDNR","nr/m3",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR",2010,"ZP","ERID",NA,NA,NA,155.954
"ZZ99",2010,"B1_20101025_SURFACE",48.317,-4.617,NA,"PNMI_B1","20101025",NA,NA,"B1_2010-10-25_SURFACE",NA,NA,0,5,"106422",NA,"NS","ABUNDNR","nr/m3",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR",2010,"ZP","ERID",NA,NA,NA,266.232
"ZZ99",2010,"B1_20101025_SURFACE",48.317,-4.617,NA,"PNMI_B1","20101025",NA,NA,"B1_2010-10-25_SURFACE",NA,NA,0,5,"1066",NA,"NP","ABUNDNR","nr/m3",NA,"BAMN",NA,NA,NA,NA,NA,"CEMP~NATL","T~S","FR",2010,"ZP","ERID",NA,NA,NA,10.44
