//ICES_parameter_mapping
//<subject>ICES:LOCAL:Depth [m]</subject><object>ICES:P01::DPSAZZ01</object><units>ICES:P06::ULAA</units>
//<subject>ICES:LOCAL:Chlorophyll a trichroma CPHLSSP1</subject><object>ICES:P01::CPHLSSP1</object><units>ICES:P06::UMMC</units>
//<subject>ICES:LOCAL:Chlorophyll a monochroma CPHLSXP1</subject><object>ICES:P01::CPHLSXP1</object><units>ICES:P06::UMMC</units>
//<subject>ICES:LOCAL:Chlorophyll a HPLC CPHLHPP1</subject><object>ICES:P01::CPHLHPP1</object><units>ICES:P06::UMMC</units>
//<subject>ICES:LOCAL:Chlorophyll a fluo CPHLFLP1</subject><object>ICES:P01::CPHLFLP1</object><units>ICES:P06::UMMC</units>
//
Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],Platform Code,Device Category Code,Distributor Code,Custodian Code,Originator Code,Project Code,Depth [m],Chlorophyll a trichroma CPHLSSP1,QV:ODV:Chlorophyll a trichroma CPHLSSP1,Chlorophyll a monochroma CPHLSXP1,QV:ODV:Chlorophyll a monochroma CPHLSXP1,Chlorophyll a HPLC CPHLHPP1,QV:ODV:Chlorophyll a HPLC CPHLHPP1,Chlorophyll a fluo CPHLFLP1,QV:ODV:Chlorophyll a fluo CPHLFLP1
2002,"Antifer ponton pétrolier_1","*","2002-03-28T11:45Z",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,,1,0.37,0,,1,,1
2002,"Antifer ponton pétrolier_2","*","2002-04-15T12:40Z",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,,1,2.33,0,,1,,1
2002,"Antifer ponton pétrolier_3","*","2002-04-30T14:20Z",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,,1,3.2,0,,1,,1
2002,"Antifer ponton pétrolier_4","*","2002-05-15T14:45Z",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,,1,1.39,0,,1,,1
2002,"Antifer ponton pétrolier_5","*","2002-05-23T11:10Z",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,,1,7.58,0,,1,,1
2002,"Antifer ponton pétrolier_6","*","2002-05-29T15:00Z",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,,1,10.8,0,,1,,1
2002,"Antifer ponton pétrolier_7","*","2002-06-03T16:10Z",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,,1,12.3,0,,1,,1
2002,"Antifer ponton pétrolier_8","*","2002-06-10T12:30Z",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,,1,15.7,0,,1,,1
2002,"Antifer ponton pétrolier_9","*","2002-06-17T15:50Z",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,,1,16.98,0,,1,,1
2002,"Antifer ponton pétrolier_10","*","2002-06-24T12:15Z",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,,1,3.42,0,,1,,1
