//ICES_parameter_mapping
//<subject>ICES:LOCAL:Depth [m]</subject><object>ICES:P01::DPSAZZ01</object><units>ICES:P06::ULAA</units>
//<subject>ICES:LOCAL:CPHLSSP1</subject><object>ICES:P01::CPHLSSP1</object><units>ICES:P06::UMMC</units>
//<subject>ICES:LOCAL:CPHLSXP1</subject><object>ICES:P01::CPHLSXP1</object><units>ICES:P06::UMMC</units>
//<subject>ICES:LOCAL:CPHLHPP1</subject><object>ICES:P01::CPHLHPP1</object><units>ICES:P06::UMMC</units>
//<subject>ICES:LOCAL:CPHLFLP1</subject><object>ICES:P01::CPHLFLP1</object><units>ICES:P06::UMMC</units>
//<subject>ICES:LOCAL:TEMPPR01</subject><object>ICES:P01::TEMPPR01</object><units>ICES:P06::UPAA</units>
//<subject>ICES:LOCAL:NEPHIF01</subject><object>ICES:P01::NEPHIF01</object><units>ICES:P06::UUUU</units>
//<subject>ICES:LOCAL:PSALKT01</subject><object>ICES:P01::PSALKT01</object><units>ICES:P06::UUUU</units>
//<subject>ICES:LOCAL:SLCAAATX</subject><object>ICES:P01::SLCAAATX</object><units>ICES:P06::UPOX</units>
//<subject>ICES:LOCAL:PHOSAAD1</subject><object>ICES:P01::PHOSAAD1</object><units>ICES:P06::UPOX</units>
//<subject>ICES:LOCAL:DOXYPE01</subject><object>ICES:P01::DOXYPE01</object><units>ICES:P06::UPOX</units>
//<subject>ICES:LOCAL:PSALTC01</subject><object>ICES:P01::PSALTC01</object><units>ICES:P06::UUUU</units>
//<subject>ICES:LOCAL:AMONMATX</subject><object>ICES:P01::AMONMATX</object><units>ICES:P06::UPOX</units>
//<subject>ICES:LOCAL:NTRZAATX</subject><object>ICES:P01::NTRZAATX</object><units>ICES:P06::UPOX</units>
//<subject>ICES:LOCAL:PSSTTS01</subject><object>ICES:P01::PSSTTS01</object><units>ICES:P06::UPAA</units>
//<subject>ICES:LOCAL:AMONDSRX</subject><object>ICES:P01::AMONDSRX</object><units>ICES:P06::UPOX</units>
//<subject>ICES:LOCAL:DOXYAAOP</subject><object>ICES:P01::DOXYAAOP</object><units>ICES:P06::UPOX</units>
//<subject>ICES:LOCAL:TURBPR01</subject><object>ICES:P01::TURBPR01</object><units>ICES:P06::USTU</units>
//<subject>ICES:LOCAL:PSALPR01</subject><object>ICES:P01::PSALPR01</object><units>ICES:P06::UUUU</units>
//<subject>ICES:LOCAL:PSALBSTX</subject><object>ICES:P01::PSALBSTX</object><units>ICES:P06::UUUU</units>
//<subject>ICES:LOCAL:TEMPRTNX</subject><object>ICES:P01::TEMPRTNX</object><units>ICES:P06::UPAA</units>
//<subject>ICES:LOCAL:SLCAMATX</subject><object>ICES:P01::SLCAMATX</object><units>ICES:P06::UPOX</units>
//<subject>ICES:LOCAL:PHOSMAD1</subject><object>ICES:P01::PHOSMAD1</object><units>ICES:P06::UPOX</units>
//<subject>ICES:LOCAL:AMONFID2</subject><object>ICES:P01::AMONFID2</object><units>ICES:P06::UPOX</units>
//<subject>ICES:LOCAL:PSALHD01</subject><object>ICES:P01::PSALHD01</object><units>ICES:P06::UUUU</units>
//<subject>ICES:LOCAL:DOXYWITX</subject><object>ICES:P01::DOXYWITX</object><units>ICES:P06::UPOX</units>
//<subject>ICES:LOCAL:PSALRF01</subject><object>ICES:P01::PSALRF01</object><units>ICES:P06::UUUU</units>
//<subject>ICES:LOCAL:NTRZMATX</subject><object>ICES:P01::NTRZMATX</object><units>ICES:P06::UPOX</units>
//
Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],Platform Code,Device Category Code,Distributor Code,Custodian Code,Originator Code,Project Code,Depth [m],QV:ODV:CPHLSSP1,QV:ODV:CPHLSXP1,QV:ODV:CPHLHPP1,QV:ODV:CPHLFLP1,QV:ODV:TEMPPR01,QV:ODV:NEPHIF01,QV:ODV:PSALKT01,QV:ODV:SLCAAATX,QV:ODV:PHOSAAD1,QV:ODV:DOXYPE01,QV:ODV:PSALTC01,QV:ODV:AMONMATX,QV:ODV:NTRZAATX,QV:ODV:PSSTTS01,QV:ODV:AMONDSRX,QV:ODV:DOXYAAOP,QV:ODV:TURBPR01,QV:ODV:PSALPR01,QV:ODV:PSALBSTX,QV:ODV:TEMPRTNX,QV:ODV:SLCAMATX,QV:ODV:PHOSMAD1,QV:ODV:AMONFID2,QV:ODV:PSALHD01,QV:ODV:DOXYWITX,QV:ODV:PSALRF01,QV:ODV:NTRZMATX,TEMPPR01,NEPHIF01,PSALKT01,SLCAAATX,PHOSAAD1,DOXYPE01,PSALTC01,AMONMATX,NTRZAATX,CPHLSXP1,PSSTTS01,AMONDSRX,DOXYAAOP,TURBPR01,PSALPR01,PSALBSTX,CPHLHPP1,CPHLFLP1,TEMPRTNX,SLCAMATX,PHOSMAD1,AMONFID2,PSALHD01,DOXYWITX,PSALRF01,CPHLSSP1,NTRZMATX
2015,"Antifer ponton pétrolier_2015-01-05","*","2015-01-05",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,39.3,1.27,,28.7,,77.9,,8,0.774,9.3,,,,,,,,,,,,,,
2015,"Antifer ponton pétrolier_2015-02-03","*","2015-02-03",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,55.3,1.41,,25.3,,114,,5.91,2.19,10,,,,,,,,,,,,,,
2015,"Antifer ponton pétrolier_2015-02-19","*","2015-02-19",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,31,,,,6.59,,10,,,,,,,,,,,,,,
2015,"Antifer ponton pétrolier_2015-03-06","*","2015-03-06",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,40.7,1.24,,27.3,,94.9,,7.2,3.64,10,,,,,,,,,,,,,,
2015,"Antifer ponton pétrolier_2015-03-20","*","2015-03-20",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,9.85,0.58,,32.7,,29.8,,7.81,0.3,8.5,,,,,,,,,,,,,,
2015,"Antifer ponton pétrolier_2015-04-09","*","2015-04-09",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,,,,8.36,0.52,,32.7,,37.2,,9.02,,9.6,,,,,,,,,,,,,,
2015,"Antifer ponton pétrolier_2015-04-21","*","2015-04-21",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,,,,4.02,0.36,,33.6,,22.9,,10.3,,9.5,,,,,,,,,,,,,,
2015,"Antifer ponton pétrolier_2015-05-04","*","2015-05-04",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,5.1,0.136,,29.5,,55.4,,12,0.181,10,,,,,,,,,,,,,,
2015,"Antifer ponton pétrolier_2015-05-18","*","2015-05-18",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,1.54,0.067,,32.6,,15.8,,12.7,0.282,9.5,,,,,,,,,,,,,,
2015,"Antifer ponton pétrolier_2015-06-01","*","2015-06-01",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,1.16,0.226,,28.5,,36.4,,14.6,0.533,10,,,,,,,,,,,,,,
2015,"Antifer ponton pétrolier_2015-06-15","*","2015-06-15",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,3.82,0.102,,33.1,,11.6,,14.9,0.882,8.4,,,,,,,,,,,,,,
2015,"Antifer ponton pétrolier_2015-07-02","*","2015-07-02",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,0.601,0.519,,31.6,,16.2,,18.3,0.59,9.5,,,,,,,,,,,,,,
2015,"Antifer ponton pétrolier_2015-07-15","*","2015-07-15",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,7.59,0.14,,31.9,,16.2,,18.3,0.123,8.3,,,,,,,,,,,,,,
2015,"Antifer ponton pétrolier_2015-08-03","*","2015-08-03",0.1316590692,49.6657520189,,"ZZ99","30","6088","6088","6088",,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,4.11,0.12,,33.16,,7.29,,18.01,0.522,7.73,,,,,,,,,,,,,,
